model,mae,rmse,psnr,ssim,corr,clpips
[ensemble:a1_rgb+a2_gan+a4_physics8],0.07298238057552314,0.11729879840845014,18.903080614601695,0.705326126842964,0.9016345458202191,0.35486482192830343
a1_rgb,0.0763219102490239,0.12447106474783362,18.36680872847394,0.6992215601409354,0.8871340222267892,0.36957819105648415
a2_gan,0.0776568460391789,0.1253820339717516,18.32301060746356,0.6777537101652564,0.8878466394127561,0.30702197551727295
a4_physics8,0.07879543013688994,0.12918844183043734,18.02527534670946,0.6928809183399852,0.8820679600533375,0.3933243475309232
a1_rgbda,0.07996038874474967,0.13059459699363243,17.9367647403624,0.6933439446658622,0.8787721309170446,0.39443815335994814
a4_physics,0.08308808778117342,0.13691831234751678,17.437093641699814,0.6823791861534119,0.8656261527009042,0.43177155459799416
a1_rgbd,0.08373553405811147,0.13834361077808752,17.33521612679086,0.6819721053286296,0.8606321129934899,0.43516432802851607
a1_small,0.08409533940437364,0.13802908579023873,17.34722877130276,0.6816462278366089,0.8639585997190538,0.4448211978121502
a1_unreg,0.08923089840426678,0.144831979056684,16.95221856745278,0.6740137542166361,0.8452458330230206,0.4938111210741648
[mean-field floor],0.2573447114810711,0.29298943390206594,10.730402225401344,0.5272548096935924,0.018391044301566625,0.5850148048342728
